curator_name,curator_link
United Critics,https://store.steampowered.com/curator/38888018-United-Critics/?snr=1_1050_curatorsreviewing_
GAMETHORN,https://store.steampowered.com/curator/45193296-GAMETHORN/?snr=1_1050_curatorsreviewing_
]Pro-G[GamingCommunity,https://store.steampowered.com/curator/6770339-%255DPro-G%255BGamingCommunity/?snr=1_1050_curatorsreviewing_
Quiet River,https://store.steampowered.com/curator/25807341-Quiet-River/?snr=1_1050_curatorsreviewing_
Hype or Yikes,https://store.steampowered.com/curator/41653970-Hype-or-Yikes/?snr=1_1050_curatorsreviewing_
Top Sellers,https://store.steampowered.com/curator/44263702-Top-Sellers/?snr=1_1050_curatorsreviewing_
Bruce's Batcave,https://store.steampowered.com/curator/33093599-Bruce%2527s-Batcave/?snr=1_1050_curatorsreviewing_
Oliver Age 24,https://store.steampowered.com/curator/6859243-Oliver-Age-24/?snr=1_1050_curatorsreviewing_
First Person Exploration and Puzzle Games,https://store.steampowered.com/curator/9686972-First-Person-Exploration-and-Puzzle-Game/?snr=1_1050_curatorsreviewing_
McThunder's,https://store.steampowered.com/curator/37281857-McThunder%2527s/?snr=1_1050_curatorsreviewing_
Greatest Co-op Games,https://store.steampowered.com/curator/40212331-Greatest-Co-op-Games/?snr=1_1050_curatorsreviewing_
𝐓𝐡𝐞 𝐊𝐢𝐭𝐜𝐡𝐞𝐧,https://store.steampowered.com/curator/33316350-%25F0%259D%2590%2593%25F0%259D%2590%25A1%25F0%259D%2590%259E-%25F0%259D%2590%258A%25F0%259D%2590%25A2%25F0%259D%2590%25AD%25F0%259D%2590%259C%25F0%259D%2590%25A1%25F0%259D%2590%259E%25F0%259D%2590/?snr=1_1050_curatorsreviewing_
Doctor Gamer,https://store.steampowered.com/curator/42985504-Doctor-Gamer/?snr=1_1050_curatorsreviewing_
Source?,https://store.steampowered.com/curator/34798148-Source/?snr=1_1050_curatorsreviewing_
Muselks Association Of Reputable Gentlemen!,https://store.steampowered.com/curator/5099041-Muselks-Association-Of-Reputable-Gentlem/?snr=1_1050_curatorsreviewing_
GeForce Now List,https://store.steampowered.com/curator/40191848-GeForce-Now-List/?snr=1_1050_curatorsreviewing_
Indie Insight,https://store.steampowered.com/curator/43950186-Indie-Insight/?snr=1_1050_curatorsreviewing_
Couples Co-op Caravan,https://store.steampowered.com/curator/28571256-Couples-Co-op-Caravan/?snr=1_1050_curatorsreviewing_
Games You Absolutely Must Have,https://store.steampowered.com/curator/7154713-Games-You-Absolutely-Must-Have/?snr=1_1050_curatorsreviewing_
GameVortexx,https://store.steampowered.com/curator/44745316-GameVortexx/?snr=1_1050_curatorsreviewing_
The Blackmail association,https://store.steampowered.com/curator/30845842-The-Blackmail-association/?snr=1_1050_curatorsreviewing_
Nikotin Review,https://store.steampowered.com/curator/43838808-Nikotin-Review/?snr=1_1050_curatorsreviewing_
Zorbaba Review,https://store.steampowered.com/curator/43838804-Zorbaba-Review/?snr=1_1050_curatorsreviewing_
Virtual Vault,https://store.steampowered.com/curator/43950185-Virtual-Vault/?snr=1_1050_curatorsreviewing_
NightExplorers,https://store.steampowered.com/curator/44745350-NightExplorers/?snr=1_1050_curatorsreviewing_
Rangort Review,https://store.steampowered.com/curator/43838796-Rangort-Review/?snr=1_1050_curatorsreviewing_
VirtualStrategists,https://store.steampowered.com/curator/44746741-VirtualStrategists/?snr=1_1050_curatorsreviewing_
